,Aggressive Advances,Cautious Advances,Distracted Advances,Learning Advances,Run,,,,,,
47,84,70,140,42,2,,,,,,
48,75,60,150,45,2,,,,,,
49,80,64,128,48,2,,,,,,
50,68,68,119,34,2,,,,,,
51,72,72,126,36,2,,,,,,
52,76,57,133,38,2,,,,,,
53,80,40,140,40,2,,,,,,
54,84,42,126,21,2,,,,,,
55,88,44,132,22,2,,,,,,
56,92,46,138,23,2,,,,,,
57,96,48,144,24,2,,,,,,
58,100,50,150,25,2,,,,,,
59,104,52,156,26,2,,,,,,
60,54,54,135,27,2,,,,,,
61,28,56,112,28,2,,,,,,
62,29,58,116,29,2,,,,,,
63,30,60,90,30,2,,,,,,
64,31,31,93,31,2,,,,,,
65,32,32,64,0,2,,,,,,
66,0,33,0,0,2,,,,,,
67,0,34,0,0,2,,,,,,
68,0,35,0,0,2,,,,,,
69,5,7,13,5,2,,,,,,
70,10,14,26,10,2,,,,,,
71,12,21,39,15,2,,,,,,
72,16,28,52,20,2,,,,,,
73,20,30,65,25,2,,,,,,
74,24,36,78,30,2,,,,,,
75,28,42,91,35,2,,,,,,
76,32,48,104,40,2,,,,,,
77,36,45,117,45,2,,,,,,
78,40,50,130,50,2,,,,,,
79,44,55,132,55,2,,,,,,
80,48,60,132,48,2,,,,,,
81,39,65,130,52,2,,,,,,
82,28,70,140,56,2,,,,,,
83,30,75,120,60,2,,,,,,
84,32,64,128,64,2,,,,,,
85,34,68,136,51,2,,,,,,
86,36,54,144,54,2,,,,,,
87,38,57,152,38,2,,,,,,
88,40,60,160,40,2,,,,,,
89,42,63,168,42,2,,,,,,
90,44,44,154,44,2,,,,,,
91,46,46,138,46,2,,,,,,
92,48,48,96,48,2,,,,,,
93,25,50,75,25,2,,,,,,
94,26,26,78,26,2,,,,,,
95,27,27,81,27,2,,,,,,
96,28,28,56,28,2,,,,,,
97,29,29,58,0,2,,,,,,
98,30,30,30,0,2,,,,,,
99,31,31,31,0,2,,,,,,
0,7,7,8,8,3,,,,,,
1,14,14,16,16,3,,,,,,
2,21,21,24,21,3,,,,,,
3,28,28,28,28,3,,,,,,
4,35,35,35,35,3,,,,,,
5,42,42,42,42,3,,,,,,
6,49,49,49,49,3,,,,,,
7,56,56,56,56,3,,,,,,
8,63,63,54,63,3,,,,,,
9,70,70,50,70,3,,,,,,
10,77,66,55,66,3,,,,,,
11,84,72,48,72,3,,,,,,
12,91,78,52,65,3,,,,,,
13,98,84,56,56,3,,,,,,
14,105,90,60,60,3,,,,,,
15,112,80,64,64,3,,,,,,
